season_id,match_id,match_url,player_url,player_id,player_name,event_type,event_score,event_time_label,event_time_minute,event_time_extra
GB1-2025,M-2025-26-02,/spielbericht/index/spielbericht/4626052,/amine-adli/profil/spieler/532776,532776,Amine Adli,icon-tor-formation,1:2,64',64,0
GB1-2025,M-2025-26-02,/spielbericht/index/spielbericht/4626052,/jake-obrien/profil/spieler/711544,711544,Jake O'Brien,icon-rotekarte-formation,,69',69,0
GB1-2025,M-2025-26-03,/spielbericht/index/spielbericht/4626056,/malick-thiaw/profil/spieler/521964,521964,Malick Thiaw,icon-tor-formation,0:1,45+5',45,5
GB1-2025,M-2025-26-03,/spielbericht/index/spielbericht/4626056,/archie-gray/profil/spieler/922693,922693,Archie Gray,icon-tor-formation,1:1,64',64,0
GB1-2025,M-2025-26-03,/spielbericht/index/spielbericht/4626056,/jacob-ramsey/profil/spieler/503749,503749,Jacob Ramsey,icon-tor-formation,1:2,68',68,0
GB1-2025,M-2025-26-04,/spielbericht/index/spielbericht/4626057,/tomas-soucek/profil/spieler/283628,283628,Tomáš Souček,icon-tor-formation,1:0,50',50,0
GB1-2025,M-2025-26-04,/spielbericht/index/spielbericht/4626057,/benjamin-sesko/profil/spieler/627442,627442,Benjamin Sesko,icon-tor-formation,1:1,90+6',90,6
GB1-2025,M-2025-26-05,/spielbericht/index/spielbericht/4626048,/jack-hinshelwood/profil/spieler/867688,867688,Jack Hinshelwood,icon-eigentor-formation,1:0,86',86,0
GB1-2025,M-2025-26-06,/spielbericht/index/spielbericht/4626051,/jorgen-strand-larsen/profil/spieler/429983,429983,Jørgen Strand Larsen,icon-tor-formation,1:0,17',17,0
GB1-2025,M-2025-26-06,/spielbericht/index/spielbericht/4626051,/jorgen-strand-larsen/profil/spieler/429983,429983,Jørgen Strand Larsen,icon-tor-formation,2:0,33',33,0
GB1-2025,M-2025-26-06,/spielbericht/index/spielbericht/4626051,/hannibal/profil/spieler/607224,607224,Hannibal,icon-tor-formation,2:1,40',40,0
GB1-2025,M-2025-26-06,/spielbericht/index/spielbericht/4626051,/jaidon-anthony/profil/spieler/684210,684210,Jaidon Anthony,icon-tor-formation,2:2,44',44,0
